combined_id,food_group,fermented_binary,genus_Streptococcus,genus_Acetobacter,phylum_Firmicutes,genus_Photobacterium,div_richness,genus_Gluconobacter,genus_Brochothrix,phylum_Pseudomonadota,genus_Latilactobacillus,genus_Psychrobacter,genus_Pantoea,div_shannon,genus_Pseudoalteromonas,country_ITA,genus_Levilactobacillus,genus_Liquorilactobacillus,genus_Lactococcus,genus_Lactobacillus,phylum_Ascomycota,genus_Enterobacter,genus_Saccharomyces,genus_Lentilactobacillus,genus_Lactiplantibacillus,genus_Lacticaseibacillus,genus_Leuconostoc,genus_Paucilactobacillus,genus_Pseudomonas,genus_Pediococcus,genus_Limosilactobacillus,phylum_Bacteroidota,genus_Staphylococcus,genus_Acinetobacter,genus_Weissella,genus_Pichia,genus_Bacillus,genus_Debaryomyces,genus_Vibrio,country_Other,phylum_Actinomycetota,country_USA,genus_Bifidobacterium,genus_Vagococcus,genus_Enterococcus,genus_Klebsiella,genus_Carnobacterium,genus_Flavobacterium,genus_Chryseobacterium,genus_Brevibacterium,country_ESP,genus_Macrococcoides,genus_Rahnella,country_IRL,genus_Serratia,genus_Rothia,genus_Escherichia,genus_Microbacterium,genus_Oenococcus,genus_Kocuria,genus_Corynebacterium,genus_Hafnia,genus_Citrobacter,genus_Brachybacterium,genus_Arthrobacter,genus_Raoultella,phylum_Deinococcota,genus_Moraxella,genus_Cutibacterium,genus_Companilactobacillus,genus_Glutamicibacter,genus_Mammaliicoccus,genus_Epilithonimonas,genus_Kluyvera,genus_Penicillium,genus_Loigolactobacillus,genus_Marinilactibacillus,country_AUT,genus_Halomonas,genus_Aeromonas,genus_Schleiferilactobacillus,genus_Tetragenococcus
SequinoG_2024_b__SRR27278188,Meat,0,0.0,0.0,48.60337,47.7945,16.0,0.0,14.38768,51.39664,0.0,1.1132,0.0,1.815221795828368,0.0,0.0,0.0,0.0,2.97936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01773,0.0,2.3683300000000003,0.0,0.0,0.0,0.0,0.12061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278197,Meat,0,0.0,0.0,43.52807,2.427,31.0,0.0,35.55731,56.259730000000005,0.23084,10.6247,0.0,1.7826284176562377,0.0,0.0,0.0,0.0,2.5843700000000003,0.0,0.21218,0.0,0.0,0.0,0.0,0.0,3.63109,0.0,41.703019999999995,0.0,0.0,0.0,0.19296,1.50501,0.0,0.0,0.0,0.21218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278204,Meat,0,0.0,0.0,21.873079999999998,0.11953,81.0,0.0,1.23949,76.56559,7.03181,1.15808,0.0,2.93338403154762,0.0,0.0,0.0,0.0,3.34028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.545459999999999,0.0,34.381569999999996,0.0,0.0,1.5613700000000001,0.00265,3.17568,0.01319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76413,0.0,0.0,0.0,0.0,0.03703,0.0,0.0,1.41494,0.0,0.0,0.0,0.0,0.0,0.0,0.63705,0.00669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05761,0.0,0.0,0.0,0.0,0.0,15.93116,0.0,0.0
SequinoG_2024_b__SRR27278215,Meat,0,0.0,0.0,24.06351,0.12651,34.0,0.0,22.59312,75.92562,0.0,4.42046,0.0,1.461299851497162,0.0,0.0,0.0,0.0,1.00334,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.1668,0.0,70.37991000000001,0.0,0.0,0.0,0.18833999999999998,0.9746199999999999,0.0,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11191000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278228,Meat,0,0.55383,0.0,45.163270000000004,0.05976,51.0,0.0,31.86304,53.48626,0.11449,4.36275,0.0,2.318638950919783,0.0,0.0,0.0,0.0,0.81674,0.0,0.62516,0.0,0.0,0.0,0.0,0.0,1.3506099999999999,0.0,41.62954,0.0,0.0,0.72534,9.18792,6.71169,0.86803,0.0,0.0,0.62516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40861,0.0,0.0,0.0,0.0,0.0,0.1864,0.0,0.05385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278229,Meat,0,0.0,0.0,35.68441000000001,0.00101,36.0,0.0,33.17233,64.31556,0.0,3.66428,0.0,1.5997837161708397,0.0,0.0,0.0,0.0,1.53377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24525000000000002,0.0,57.38755,0.0,0.0,0.0,0.23743,3.07927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49562999999999996,0.0,0.0,0.0,0.0,0.0,0.06567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278230,Meat,0,0.53695,0.0,51.313269999999996,0.06376,34.0,0.0,43.02204,48.3108,0.08742,3.77337,0.0,1.8835409516789547,0.0,0.0,0.0,0.0,0.48546,0.0,0.36093,0.0,0.0,0.0,0.0,0.0,0.59912,0.0,42.77603,0.0,0.0,0.01498,5.615659999999999,1.64563,0.66107,0.0,0.0,0.36093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShangpliangH_2023_a__SRR22851167,Yogurt,0,52.997339999999994,0.02579,99.37101,0.0,27.0,0.0,0.0,0.17802,0.0,0.0,0.0,1.2614746528140661,0.0,0.0,0.0,0.0,29.53422,14.385969999999999,0.0,0.0,0.0,0.01797,0.0,0.0,2.24886,0.0,0.004869999999999999,0.0,0.0,0.0,0.0,0.01925,0.0,0.0,0.0,0.0,0.0,1.0,0.35094,0.0,0.35094,0.0,0.18641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12634,0.0,0.0,0.0,0.0,0.10004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShangpliangH_2023_a__SRR22851168,Yogurt,0,53.16748,0.03373,99.4118,0.0,29.0,0.0,0.0,0.20198,0.0,0.0,0.0,1.256769850692553,0.0,0.0,0.0,0.0,29.18389,14.53744,0.0,0.0,0.0,0.02233,0.0,0.0,2.31904,0.0,0.0057399999999999994,0.0,0.0,0.0,0.0,0.01978,0.0,0.0,0.0,0.0,0.0,1.0,0.30556,0.0,0.30149,0.00278,0.17712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13948,0.0,0.0,0.0,0.0,0.08066,0.0,0.00407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShangpliangH_2023_b__SRR22851057,Other food,0,0.0,0.41891,99.51053,0.0,21.0,0.02363,0.0,0.44747,0.0,0.0,0.0,1.2542657943956674,0.0,0.0,0.00541,0.0,24.3617,0.0,0.04202,0.0,0.02346,0.0,0.7116899999999999,0.0,0.0,0.0,0.0,25.40035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.75804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
