food,label,n_eaten,score_diff,pvalue,qvalue,FDR_sig,neg_log10_p
Cucumber_pickles_dill,Cucumber Pickles Dill,16,-0.03503642480854466,0.8342293949438309,0.9721618537632851,False,0.07871451140101673
Cream_half_and_half,Cream Half And Half,46,-0.036985091195389536,0.5156269141467585,0.9405831919098863,False,0.28766442188426533
Celery_raw,Celery Raw,19,-0.04650569581458813,0.6358348233956446,0.9405831919098863,False,0.19665569033377
Bread_whole_wheat_NS_as_to_100_,Bread Whole Wheat Ns,20,-0.051026793372202776,0.5219842719209685,0.9405831919098863,False,0.2823425826698472
Rice_white_cooked_fat_not_added_in_cooking,Rice White Cooked Fat,23,-0.05297129411105737,0.31026841823528206,0.880452569443505,False,0.5082624283609741
Guacamole,Guacamole,25,-0.06527214559987692,0.32895255051213435,0.880452569443505,False,0.4828667419798166
Orange_raw,Orange Raw,33,-0.068956265426964,0.4744085558923721,0.9405831919098863,False,0.32384748713254174
Mayonnaise_regular,Mayonnaise Regular,37,-0.06994063237760804,0.3715535202461596,0.880452569443505,False,0.42997861965994943
Beer,Beer,57,-0.08684438419851037,0.41947725906473476,0.8972152485551271,False,0.3772915784119267
Honey,Honey,30,-0.09244262541672331,0.1720512559507481,0.880452569443505,False,0.7643421527408798
Tea_leaf_unsweetened,Tea Leaf Unsweetened,30,-0.09553381277234411,0.3405820587031463,0.880452569443505,False,0.467778233682425
Lettuce_raw,Lettuce Raw,37,-0.09566313181588182,0.1604127948763695,0.880452569443505,False,0.7947609943898294
Salsa_red_commercially_prepared,Salsa Red Commercially Prepared,58,-0.097163147500081,0.10134996163747542,0.880452569443505,False,0.9941764113581051
Milk_NFS,Milk,15,-0.10799371379324955,0.28171085473619617,0.880452569443505,False,0.5501964186826337
Mixed_salad_greens_raw,Mixed Salad Greens Raw,32,-0.13073456190357682,0.3395397089912636,0.880452569443505,False,0.4691094279009216
Coffee_made_from_powdered_instant_regular,Coffee Made From Powdered,15,-0.13108250101282115,0.15661044174320646,0.880452569443505,False,0.8051792854436068
Strawberries_raw,Strawberries Raw,17,-0.1635428845212023,0.5666166125723091,0.9405831919098863,False,0.24671069659511072
Cilantro_raw,Cilantro Raw,18,-0.16764157448005887,0.10360295258647871,0.880452569443505,False,0.9846278674311061
